Willingness to Try Exotic Foods,Importance of Food Presentation,Value for Money in Meals,Preference for Gourmet Restaurants,Interest in Nutritional Content,Frequency of Eating Home-Cooked Meals,Desire for New Culinary Experiences,Preference for Organic or Diet-Specific Foods,Enjoyment of Traditional or Familiar Foods,Willingness to Spend on High-Quality Ingredients,personality,username
1,3,2,1,4,2.0,3,4,5,1,Comfort Food Lover,zbNyN4Fc0L
3,5,5,1,1,3.0,4,1,3,2,Comfort Food Lover,P9bDh6LCw3
1,1,4,1,3,5.0,3,1,2,1,Comfort Food Lover,4nLDGiT1cO
5,1,4,1,3,3.0,1,5,5,1,Comfort Food Lover,pejIo8ulRw
1,4,5,2,1,5.0,2,5,5,3,Comfort Food Lover,fsEpbAcEto
2,4,4,2,3,5.0,1,3,5,1,Comfort Food Lover,bFpXPKAEeL
1,4,5,1,3,5.0,2,3,2,1,Comfort Food Lover,GG5Vje1iVo
1,1,1,2,1,3.0,1,1,2,3,Comfort Food Lover,MIdWKjC5ld
1,5,4,1,3,3.0,1,4,2,4,Comfort Food Lover,PmfvAEdDaC
4,5,5,1,2,5.0,4,5,4,5,Comfort Food Lover,j1u7vDdfdR
1,1,5,4,1,5.0,3,5,5,3,Comfort Food Lover,l6BsvESydZ
4,2,2,1,1,3.0,1,1,4,4,Comfort Food Lover,0Lgs3jnsNG
3,2,2,3,2,3.0,3,1,3,5,Comfort Food Lover,OI6GqXM2KB
1,4,2,3,3,2.0,1,1,2,4,Comfort Food Lover,IRNF2weVWd
1,1,2,1,4,2.0,2,3,5,4,Comfort Food Lover,5XJcqUSSG6
2,1,1,5,4,2.0,2,5,3,1,Comfort Food Lover,QKUue3U7Y1
1,3,1,1,4,5.0,1,4,5,3,Comfort Food Lover,2pqRDfD1WX
5,2,3,1,1,3.0,3,5,5,5,Comfort Food Lover,sipnbHmvZI
4,1,2,5,1,5.0,2,5,5,1,Comfort Food Lover,jMuemTQUuV
1,1,4,2,3,5.0,1,3,5,1,Comfort Food Lover,n7LfyEe4Nl
1,4,5,2,3,3.0,1,1,3,1,Comfort Food Lover,6MAVRo2WsV
2,1,4,2,4,5.0,3,2,5,1,Comfort Food Lover,3koPqKSlOa
1,5,5,1,1,5.0,3,5,5,4,Comfort Food Lover,lYVklJFkyY
1,1,5,3,3,3.0,3,3,3,3,Comfort Food Lover,GC9rF6Q3FD
1,4,4,1,3,3.0,1,1,2,4,Comfort Food Lover,gL6o6st55d
5,4,5,1,1,4.0,3,5,5,1,Comfort Food Lover,v3K5UZuEda
3,4,5,1,4,3.0,3,5,5,4,Comfort Food Lover,2BwDLmH5te
2,3,4,5,3,3.0,3,3,5,4,Comfort Food Lover,LdIttPAjh5
1,3,5,1,3,3.0,3,4,5,4,Comfort Food Lover,oaT0pcc24z
3,3,4,2,3,2.0,2,1,3,4,Comfort Food Lover,tn9dONvC0Z
5,1,5,1,4,5.0,1,4,2,4,Comfort Food Lover,etmjxmQp3O
3,1,4,1,4,5.0,3,3,2,3,Comfort Food Lover,bvvRL6JGS7
4,5,5,1,5,4.0,1,4,5,5,Comfort Food Lover,gX4N2QJNpH
1,4,1,4,3,2.0,3,1,5,1,Comfort Food Lover,sxIqMR4oUB
3,1,4,2,1,3.0,3,1,5,3,Comfort Food Lover,mUyURqvuSN
3,4,1,1,1,3.0,3,1,5,1,Comfort Food Lover,RiVyX9dMUX
1,2,3,3,2,5.0,3,2,5,5,Comfort Food Lover,J2H75pqSl0
3,3,1,1,4,3.0,2,1,5,3,Comfort Food Lover,EsUlS7DDax
1,1,5,1,3,3.0,3,5,5,4,Comfort Food Lover,wywYzFPexI
1,1,5,2,1,5.0,3,1,3,1,Comfort Food Lover,HuVi3ayzTX
1,1,5,3,1,5.0,4,2,5,2,Comfort Food Lover,lScVIrMOCt
2,1,4,1,1,5.0,1,4,2,1,Comfort Food Lover,UQjjroONcs
3,4,5,4,3,5.0,3,1,5,1,Comfort Food Lover,FJzvE0kToz
5,5,2,1,3,2.0,1,3,3,1,Comfort Food Lover,GonvoNZ6DM
1,5,2,1,5,4.0,1,4,4,2,Comfort Food Lover,kfImg9E12H
1,5,5,2,2,5.0,3,5,4,5,Comfort Food Lover,UncjvCW7Bf
2,4,3,1,3,5.0,1,5,5,3,Comfort Food Lover,FbQNQq2YIg
1,1,2,5,2,3.0,1,5,5,4,Comfort Food Lover,3jBhtK2YKy
1,3,1,2,4,5.0,3,3,5,3,Comfort Food Lover,wbixCsCaJo
4,4,4,3,1,5.0,3,3,3,4,Comfort Food Lover,8GnY2UfXro
3,1,2,4,1,4.0,1,1,4,2,Comfort Food Lover,JJufxmJO0O
2,1,5,1,4,5.0,1,5,5,3,Comfort Food Lover,0PbEnPeWxK
2,4,4,1,3,2.0,1,4,5,3,Comfort Food Lover,VyfIPOdI2h
1,2,4,2,2,5.0,3,2,5,3,Comfort Food Lover,SJ8q6maYXC
1,1,4,3,1,3.0,1,4,3,1,Comfort Food Lover,7q5uSLaT53
1,1,2,2,3,2.0,1,3,5,3,Comfort Food Lover,fnyFRMISGh
3,2,2,3,1,5.0,1,4,5,5,Comfort Food Lover,Cpfa2WbcFD
5,2,2,5,4,5.0,3,2,3,2,Comfort Food Lover,xsTS339PxX
4,3,1,4,3,5.0,3,2,3,3,Comfort Food Lover,0VkyHOwRrF
3,3,4,2,4,5.0,1,3,5,1,Comfort Food Lover,gXBHeaM4Vq
1,1,5,1,4,3.0,1,5,5,3,Comfort Food Lover,pLYdgMtUfp
1,4,5,3,1,3.0,1,1,3,1,Comfort Food Lover,7r97ozw3dY
2,1,1,1,1,2.0,1,1,5,1,Comfort Food Lover,2lvY4eEdmD
3,1,1,1,1,5.0,1,1,5,1,Comfort Food Lover,LF4WJgMICK
1,1,3,4,5,5.0,4,5,3,4,Comfort Food Lover,AMNSZou1pY
1,1,5,3,4,5.0,4,4,5,4,Comfort Food Lover,dOxPE2ljLe
3,2,3,1,2,5.0,3,4,4,5,Comfort Food Lover,k0d4OT4FPO
2,1,4,1,1,3.0,1,3,2,1,Comfort Food Lover,yzQy8vQLSV
2,5,3,2,1,3.0,3,2,5,2,Comfort Food Lover,9jlMQcz1in
1,2,3,1,4,5.0,1,5,5,1,Comfort Food Lover,dMZBmNKkpY
4,1,4,5,1,2.0,1,5,5,1,Comfort Food Lover,iDTcEwg9QU
5,3,4,1,4,5.0,2,3,3,4,Comfort Food Lover,ELvYtIjznc
1,1,5,1,4,5.0,2,5,5,2,Comfort Food Lover,Tkv8n8mn0j
1,1,5,1,3,2.0,1,3,5,1,Comfort Food Lover,gWp5r767MC
2,5,1,5,2,3.0,2,3,5,4,Comfort Food Lover,4LXQXUtxJr
4,4,2,1,2,5.0,1,1,5,2,Comfort Food Lover,9XzTOGXGkp
1,1,5,2,1,3.0,1,1,5,1,Comfort Food Lover,Xx1bIo0FlY
5,4,2,5,3,5.0,1,3,5,4,Comfort Food Lover,TiYq5EtyMt
1,1,2,1,1,5.0,3,1,3,1,Comfort Food Lover,DJy0GoGWhk
1,5,3,4,4,5.0,3,2,4,2,Comfort Food Lover,put5HLp1aU
3,3,1,3,1,3.0,2,1,5,4,Comfort Food Lover,xtJTH3EatO
4,1,3,4,1,3.0,1,4,5,2,Comfort Food Lover,K4m0UEvfda
1,1,1,3,1,2.0,2,1,3,1,Comfort Food Lover,IvFNO00YfA
4,5,5,4,1,2.0,1,5,3,5,Comfort Food Lover,LOxGdNY0uL
1,3,2,1,3,5.0,3,5,3,4,Comfort Food Lover,mLrBxSkk8k
1,2,3,4,2,4.0,3,4,4,1,Comfort Food Lover,crYdgKcqNH
1,2,3,5,5,4.0,1,5,5,2,Comfort Food Lover,diMpfL7AF8
2,4,2,1,1,3.0,2,1,5,3,Comfort Food Lover,tPvoCQXIP8
5,1,4,2,4,4.0,1,5,2,2,Comfort Food Lover,uyVHtJSd5U
1,1,5,1,1,5.0,3,1,5,1,Comfort Food Lover,vtMitW42R9
3,5,3,4,5,3.0,1,5,5,4,Comfort Food Lover,bVxvhjObKu
5,4,5,2,1,5.0,1,3,3,5,Comfort Food Lover,nZ1KjjJeVS
1,4,5,3,5,4.0,1,4,5,4,Comfort Food Lover,FH2f7xDjko
3,4,5,1,2,5.0,3,2,4,2,Comfort Food Lover,WOrYzYdI4t
3,4,1,1,1,5.0,3,1,2,4,Comfort Food Lover,JBYXIyMB6Y
4,5,5,5,2,5.0,1,3,5,4,Comfort Food Lover,4Pp52yxyJg
1,1,1,2,1,3.0,1,4,2,4,Comfort Food Lover,mrBKPn8BFO
2,1,1,3,4,5.0,1,5,5,1,Comfort Food Lover,hGppxWX2RG
1,4,4,4,4,2.0,1,1,5,1,Comfort Food Lover,KxGQDPztd6
1,4,1,2,1,3.0,3,1,5,1,Comfort Food Lover,Y4WSFGRxhE
1,4,2,4,1,2.0,1,3,3,1,Comfort Food Lover,MeWmPcfiKC
1,4,1,2,3,2.0,2,3,5,4,Comfort Food Lover,KD1zYKLJPD
1,1,2,3,1,5.0,2,5,2,4,Comfort Food Lover,NVBknQ6wbN
1,4,5,1,4,3.0,1,2,4,1,Comfort Food Lover,Qw3L6M9g3J
1,4,2,1,1,5.0,3,2,3,5,Comfort Food Lover,pR46mwSymW
4,1,5,2,4,5.0,1,1,2,1,Comfort Food Lover,H7TFPrJ4jS
4,1,5,3,4,5.0,4,4,5,2,Comfort Food Lover,wLRWpWiFjM
4,4,5,1,4,5.0,1,4,4,4,Comfort Food Lover,ohOjh3B68O
3,4,1,3,3,5.0,3,1,3,1,Comfort Food Lover,BgbHQDBMO6
5,1,2,1,4,5.0,2,5,3,4,Comfort Food Lover,G3u0Zi8DQO
3,4,3,1,2,4.0,4,5,5,1,Comfort Food Lover,Z3DjFtZFRL
1,4,5,2,4,5.0,1,5,5,1,Comfort Food Lover,uYRhSfoIqZ
1,4,5,5,4,5.0,1,5,5,2,Comfort Food Lover,P5I1kYXphU
4,4,2,2,2,3.0,1,5,4,5,Comfort Food Lover,IUMvI8NnJZ
2,5,5,2,1,4.0,3,5,5,5,Comfort Food Lover,cIJJ6oUwig
1,1,4,4,1,5.0,3,5,5,1,Comfort Food Lover,5BWCNjuZ23
2,3,2,3,3,2.0,3,1,3,1,Comfort Food Lover,pBVEZfwDg4
2,1,2,3,3,3.0,3,4,5,3,Comfort Food Lover,ZzOEllqW5n
1,3,4,5,4,3.0,1,5,4,1,Comfort Food Lover,UnOlW24VxU
4,1,2,3,1,5.0,3,5,5,5,Comfort Food Lover,QDyR6kSge4
3,1,1,3,3,5.0,3,1,5,1,Comfort Food Lover,wkcB3WSNx7
4,5,3,4,1,4.0,3,4,5,4,Comfort Food Lover,NTe0RO5ioR
4,5,2,4,5,3.0,3,5,3,1,Comfort Food Lover,GuIay935Ux
1,4,5,1,1,5.0,4,2,4,1,Comfort Food Lover,HL1tJDfhJS
3,1,5,4,4,5.0,1,4,5,5,Comfort Food Lover,EheX8HsBxZ
3,3,1,2,3,5.0,1,3,5,3,Comfort Food Lover,Qv43OxenOx
4,1,3,3,1,3.0,3,2,3,1,Comfort Food Lover,gKdUfE6lwK
5,4,5,1,1,3.0,1,4,5,4,Comfort Food Lover,qtchGdu53s
2,4,3,1,5,4.0,3,1,3,4,Comfort Food Lover,5new3TtOnI
2,1,4,2,1,5.0,1,5,3,1,Comfort Food Lover,iMCJjBySse
1,5,2,3,1,3.0,1,5,5,4,Comfort Food Lover,5tqPIYd2lc
4,1,1,1,1,2.0,2,3,2,1,Comfort Food Lover,GdmbKbl6YB
5,1,1,3,1,2.0,2,3,2,4,Comfort Food Lover,HzJd4vXrhS
1,3,2,1,4,3.0,1,1,5,4,Comfort Food Lover,451OwwXeEC
4,1,5,3,5,5.0,1,4,5,4,Comfort Food Lover,MHp2Wy1Q2X
2,1,4,3,1,3.0,2,1,3,1,Comfort Food Lover,9RhSIczXrW
4,4,3,2,2,5.0,1,3,3,1,Comfort Food Lover,0tLEEessgQ
1,1,5,2,1,5.0,3,5,3,1,Comfort Food Lover,G4xQOrbnAS
2,1,1,1,1,5.0,3,5,3,1,Comfort Food Lover,SogcarjI0w
1,4,5,2,2,5.0,4,5,5,1,Comfort Food Lover,5s7ZgOEbr5
1,4,3,4,4,5.0,1,5,4,5,Comfort Food Lover,ynhEiV97Nv
1,1,5,1,3,5.0,2,4,5,3,Comfort Food Lover,5Gs3WC28GQ
2,1,2,1,1,5.0,1,1,5,3,Comfort Food Lover,pBXJpvXNgp
1,5,5,1,5,5.0,1,1,4,2,Comfort Food Lover,MoiwiSxtRv
3,3,1,3,1,5.0,3,1,2,4,Comfort Food Lover,nf5VEhyfbH
5,4,5,5,5,5.0,1,4,5,2,Comfort Food Lover,xQHMpQ6Uhd
1,1,4,3,4,5.0,3,3,5,1,Comfort Food Lover,IHKaw45l36
3,3,4,1,1,3.0,3,3,2,4,Comfort Food Lover,xANo3sDiGY
3,3,4,1,4,5.0,2,1,5,4,Comfort Food Lover,MhkxTfe8Uv
3,4,5,1,1,5.0,1,4,4,5,Comfort Food Lover,T9hXgiIjbp
1,2,5,3,5,5.0,4,5,5,2,Comfort Food Lover,uXtuA3dqq3
1,2,3,4,2,5.0,3,4,4,4,Comfort Food Lover,0VL9nJNXr9
3,1,5,2,1,2.0,2,4,5,1,Comfort Food Lover,syVdo1n6zF
1,4,3,1,1,5.0,3,5,5,1,Comfort Food Lover,GjR5V4SAP3
2,1,2,1,3,2.0,2,1,2,1,Comfort Food Lover,Ou6L9OwLFm
3,4,2,4,1,4.0,3,4,5,2,Comfort Food Lover,FEMT5LyO98
1,5,2,5,5,5.0,3,5,5,4,Comfort Food Lover,o36Psd7CYa
1,4,5,1,2,3.0,1,5,5,5,Comfort Food Lover,jjdEHubjNN
1,2,2,5,1,5.0,1,5,4,3,Comfort Food Lover,4UyKJqGanH
4,2,2,2,4,5.0,4,4,4,1,Comfort Food Lover,Vfu9hI2U7Y
4,4,5,1,2,3.0,1,2,3,5,Comfort Food Lover,kfaCtIS6VZ
3,1,4,1,1,3.0,1,1,3,3,Comfort Food Lover,5L4EUZqiZf
3,2,5,1,5,5.0,1,2,3,1,Comfort Food Lover,W1uftJguYF
3,1,2,2,3,3.0,2,5,3,1,Comfort Food Lover,s6Mpg32w5d
3,2,3,3,1,5.0,3,5,5,2,Comfort Food Lover,AEO23vFwvw
2,5,2,1,5,5.0,1,5,4,4,Comfort Food Lover,n8edUh6q5e
2,1,5,4,4,5.0,3,2,5,5,Comfort Food Lover,T4ODbh1dLf
3,1,1,1,4,3.0,1,1,3,4,Comfort Food Lover,pjDATXZZ2s
5,5,3,3,5,5.0,3,5,5,4,Comfort Food Lover,QR1QTeNw80
1,4,3,1,5,3.0,1,5,4,1,Comfort Food Lover,yACe0R4Lr9
2,4,2,2,4,2.0,1,3,5,1,Comfort Food Lover,vuUe52LImV
3,2,5,3,5,4.0,1,1,3,5,Comfort Food Lover,RNhBQWH3HU
4,1,5,2,4,5.0,4,2,4,1,Comfort Food Lover,svMUPk4OMu
2,1,5,3,1,3.0,1,4,5,3,Comfort Food Lover,tXAkFcZpTa
5,1,1,4,2,2.0,1,3,3,3,Comfort Food Lover,tDfFwOoXoL
4,1,1,1,5,5.0,3,5,3,4,Comfort Food Lover,IRRZZQIRNg
3,1,5,1,4,4.0,1,4,5,1,Comfort Food Lover,9qYywaBiyp
1,3,2,3,1,5.0,1,1,3,1,Comfort Food Lover,edz2UaD9FR
1,4,2,2,3,3.0,1,5,2,1,Comfort Food Lover,DL7fUApIWp
4,1,2,1,2,3.0,4,4,4,3,Comfort Food Lover,yt0MI6qlLq
3,1,5,4,4,5.0,2,5,5,4,Comfort Food Lover,UdPWS8Eto2
3,2,3,4,5,4.0,1,1,5,5,Comfort Food Lover,nUv6HOBPOC
1,4,5,5,5,4.0,4,2,5,5,Comfort Food Lover,d3nVZbbPyb
2,2,5,1,5,5.0,1,2,5,4,Comfort Food Lover,tdvJVECt2B
1,1,5,4,2,4.0,3,4,5,2,Comfort Food Lover,TEHAGz36HK
3,2,5,1,2,5.0,1,2,5,2,Comfort Food Lover,BgtLZokftw
1,5,2,1,2,5.0,1,1,3,5,Comfort Food Lover,axYh3wkAyZ
1,5,5,3,4,5.0,4,4,3,2,Comfort Food Lover,c7v0z0EOIn
4,1,5,3,4,4.0,1,3,5,4,Comfort Food Lover,inXDByF8yj
1,3,5,2,3,5.0,3,2,2,1,Comfort Food Lover,MZ0vJPn4Jb
5,2,5,1,2,5.0,1,2,5,4,Comfort Food Lover,Bktu0UYGW5
1,4,1,2,1,5.0,1,2,3,2,Comfort Food Lover,EsX642kjb3
1,4,1,1,3,5.0,2,3,3,3,Comfort Food Lover,YGACyc6qcA
5,4,2,1,4,5.0,1,3,5,3,Comfort Food Lover,VGiY2ntEin
2,1,1,1,1,5.0,2,1,5,3,Comfort Food Lover,w9ehxBX09i
4,1,1,4,4,5.0,1,5,5,1,Comfort Food Lover,RK8xcTwz6B
1,3,2,2,1,2.0,1,4,5,3,Comfort Food Lover,xB9yp8ZPg1
3,4,5,4,4,5.0,1,2,5,2,Comfort Food Lover,jMVyQ2rHwB
3,3,5,2,4,3.0,1,1,5,3,Comfort Food Lover,UftTdhWeE2
3,1,5,3,1,5.0,2,3,5,1,Comfort Food Lover,r7wyxAL4vz
1,2,5,1,1,5.0,1,5,5,1,Comfort Food Lover,cdBz4TApF1
1,1,1,2,1,3.0,2,3,3,1,Comfort Food Lover,VueXff0Bjt
2,1,1,3,1,5.0,1,4,5,3,Comfort Food Lover,9uXSufzquL
4,5,5,1,1,3.0,3,2,5,5,Comfort Food Lover,G497509FE5
4,5,5,2,4,3.0,3,2,3,4,Comfort Food Lover,EP6EA8uXLR
2,4,5,3,1,4.0,3,4,5,4,Comfort Food Lover,sQEkk2awhO
4,1,5,3,4,5.0,1,4,3,4,Comfort Food Lover,fNevSrNcJI
1,1,3,1,4,4.0,3,2,3,1,Comfort Food Lover,JY6NZphVAP
3,1,2,2,3,2.0,2,1,3,1,Comfort Food Lover,jDWANZevt4
3,4,2,5,1,5.0,1,3,3,1,Comfort Food Lover,sZH10eQnt8
1,1,5,1,5,3.0,4,2,4,4,Comfort Food Lover,HXkMpJ8Trg
2,1,4,1,1,2.0,3,1,5,1,Comfort Food Lover,Il0MwICR0O
3,3,4,2,1,5.0,1,4,2,1,Comfort Food Lover,HF7oUfDP5t
3,3,1,1,1,3.0,3,5,3,1,Comfort Food Lover,06wXC587mT
1,4,5,3,5,3.0,4,5,4,2,Comfort Food Lover,CLQrnbM94N
1,4,2,5,1,2.0,1,4,2,4,Comfort Food Lover,TZX0oAx8Nz
3,2,2,1,5,5.0,3,2,5,1,Comfort Food Lover,qUVqxLB5Ol
1,3,4,3,3,5.0,2,4,3,1,Comfort Food Lover,hnZOK4QsI0
4,3,5,4,3,2.0,1,5,5,4,Comfort Food Lover,3CpCDfxfjW
1,4,1,2,4,3.0,1,5,2,4,Comfort Food Lover,87xxHUSz0X
1,5,3,1,5,4.0,4,2,5,1,Comfort Food Lover,5M1kQTiAxR
1,1,2,1,4,3.0,4,5,3,2,Comfort Food Lover,9gjc1VYqBI
1,3,2,3,1,5.0,3,3,2,1,Comfort Food Lover,TdBJtijoQf
1,3,1,1,1,5.0,2,1,2,3,Comfort Food Lover,IYuOVPOX3u
3,5,2,3,1,5.0,3,4,2,1,Comfort Food Lover,fOzskuqOWn
4,1,5,1,1,4.0,1,5,4,2,Comfort Food Lover,efJ8tU6yWv
3,4,2,5,1,5.0,1,4,5,4,Comfort Food Lover,c17Q0OMS2B
5,4,5,4,2,5.0,3,3,5,5,Comfort Food Lover,19LdTbxYeb
5,3,1,1,1,5.0,1,1,3,3,Comfort Food Lover,DdihbU3Mva
1,3,4,2,5,5.0,3,5,3,3,Comfort Food Lover,zYJF9vSkkJ
1,4,4,2,3,2.0,3,3,3,1,Comfort Food Lover,pyBTrvktos
2,4,2,2,3,2.0,2,1,5,1,Comfort Food Lover,S9sLN6k93O
1,2,5,3,5,5.0,4,5,3,1,Comfort Food Lover,QyPXPzHfgD
2,4,5,4,2,4.0,1,2,5,5,Comfort Food Lover,rQKiVKjtkA
1,1,2,1,3,2.0,1,3,2,3,Comfort Food Lover,LdPZth3Vix
4,4,2,5,5,3.0,4,5,5,1,Comfort Food Lover,ZsyBRQUB3a
1,1,5,3,3,5.0,2,1,2,4,Comfort Food Lover,lg99uxcyiR
4,1,4,4,1,2.0,1,3,5,1,Comfort Food Lover,BvmxRSVZaU
5,2,5,5,1,5.0,2,2,5,1,Comfort Food Lover,WcLlW4gdaU
1,1,1,5,1,2.0,1,5,2,3,Comfort Food Lover,mnWKpKUFj6
1,3,2,1,3,5.0,1,3,2,4,Comfort Food Lover,AMi0zDLwK1
1,3,4,4,1,5.0,1,2,2,4,Comfort Food Lover,2jxCbLMSQt
2,4,2,1,4,2.0,3,1,2,4,Comfort Food Lover,klYOZTKYUi
1,1,4,1,4,5.0,3,1,3,1,Comfort Food Lover,bHiVCWiHnN
2,1,5,1,1,3.0,1,1,3,3,Comfort Food Lover,kgS5QYwNuZ
3,4,5,1,1,5.0,3,1,3,4,Comfort Food Lover,h3uWLoZTte
5,1,5,1,1,5.0,1,1,5,1,Comfort Food Lover,td1TxUvDXA
2,1,2,1,1,2.0,1,1,5,3,Comfort Food Lover,yf98DjnodB
1,1,5,3,3,3.0,2,3,5,1,Comfort Food Lover,WhK4FScO64
5,3,1,1,3,5.0,1,5,3,1,Comfort Food Lover,IFyWTvR4jE
4,5,2,5,1,3.0,1,5,5,4,Comfort Food Lover,efiDj6k07p
4,5,3,1,2,4.0,1,3,3,5,Comfort Food Lover,n8IQDWzz14
4,2,5,1,5,5.0,4,1,5,4,Comfort Food Lover,JGNP7YXYWM
3,1,1,3,4,5.0,3,4,2,1,Comfort Food Lover,agP0a9b7xg
1,1,2,2,2,5.0,1,5,5,4,Comfort Food Lover,GQb6htHLat
4,5,5,4,4,4.0,4,2,4,2,Comfort Food Lover,NZzRag0XKr
1,1,2,5,2,5.0,4,1,5,1,Comfort Food Lover,1OumBjfv7w
5,1,1,1,1,5.0,2,1,5,1,Comfort Food Lover,BcWA9k3mLI
1,1,1,2,3,2.0,1,5,3,4,Comfort Food Lover,pRvcxhLsW4
1,4,2,2,3,5.0,3,1,3,1,Comfort Food Lover,wW0HHkU49d
1,1,4,1,3,3.0,1,1,5,4,Comfort Food Lover,8yiiC8K1ls
3,5,3,3,1,5.0,1,5,3,5,Comfort Food Lover,Xg5e2KhvXZ
1,4,5,3,4,5.0,3,2,4,1,Comfort Food Lover,lwfoH6Jc1k
4,2,5,4,4,3.0,1,5,5,1,Comfort Food Lover,E5Bkvs9qwD
5,2,5,4,4,5.0,4,2,5,4,Comfort Food Lover,aFkNigXSmJ
5,4,5,2,1,5.0,2,1,3,4,Comfort Food Lover,nLE2SvEUEi
4,1,5,3,4,5.0,4,5,5,4,Comfort Food Lover,05w1oSER74
3,5,2,4,5,3.0,1,2,5,5,Comfort Food Lover,7vWhaRPOJP
1,4,5,4,4,5.0,3,5,5,2,Comfort Food Lover,ZXpx4W8T4N
1,1,2,2,3,2.0,1,4,5,3,Comfort Food Lover,5dvsGsLLkf
3,1,4,2,5,2.0,2,5,5,1,Comfort Food Lover,tdhUd1uIQS
2,1,5,2,4,2.0,1,5,5,1,Comfort Food Lover,UlZFrSHz4l
3,3,2,3,1,3.0,3,4,2,1,Comfort Food Lover,GivYduCaSm
5,5,3,2,4,4.0,1,5,5,4,Comfort Food Lover,Zi788bMvER
2,3,4,4,4,5.0,2,4,5,1,Comfort Food Lover,8kwOcggYTx
1,4,2,2,1,5.0,2,4,5,3,Comfort Food Lover,BMx35X6YOw
2,4,5,2,3,5.0,3,4,5,1,Comfort Food Lover,q4upAj4UJP
1,2,5,5,2,5.0,1,4,5,4,Comfort Food Lover,MRfbQ2EOHt
2,1,5,2,3,5.0,1,4,2,1,Comfort Food Lover,BdCrkNOr2r
1,3,1,1,1,2.0,2,1,3,4,Comfort Food Lover,dXUzO28E3D
3,2,5,1,1,5.0,1,4,5,1,Comfort Food Lover,TWgpx9cEES
1,1,5,1,5,4.0,4,1,4,1,Comfort Food Lover,wiUzlE1xhh
3,2,5,4,1,3.0,1,2,3,2,Comfort Food Lover,dTk6I8WYpX
4,1,2,1,4,4.0,1,1,3,4,Comfort Food Lover,kdMelhRJ8x
5,1,2,5,1,5.0,1,1,5,5,Comfort Food Lover,CXezVpsFxq
2,4,5,5,1,4.0,1,3,5,2,Comfort Food Lover,FlR4bO4Rp3
2,4,5,1,2,3.0,3,5,5,4,Comfort Food Lover,WuWRT190St
3,4,2,4,2,3.0,3,5,5,4,Comfort Food Lover,d80GF5Yxxb
1,3,1,2,1,3.0,1,1,2,3,Comfort Food Lover,Px3bHsTepi
2,1,5,3,1,3.0,2,1,2,4,Comfort Food Lover,azkvvu7N5j
3,4,1,1,1,2.0,3,4,5,1,Comfort Food Lover,yd1wgs3GaS
5,2,5,1,2,5.0,3,4,5,5,Comfort Food Lover,5L9BUmicxy
1,2,2,4,5,4.0,1,1,5,4,Comfort Food Lover,O6sgP23kRV
3,2,3,2,4,4.0,1,3,3,2,Comfort Food Lover,BeM8EZvuaD
3,4,1,3,1,3.0,1,1,2,4,Comfort Food Lover,DHOQXyhF7c
2,1,1,5,3,5.0,2,5,2,4,Comfort Food Lover,bXX88yCdb0
4,4,5,1,1,5.0,4,2,5,1,Comfort Food Lover,T2evRPWeFb
5,1,4,1,1,3.0,1,5,5,1,Comfort Food Lover,YBS8uVB9Ky
2,3,2,2,1,5.0,3,4,3,1,Comfort Food Lover,XDPFnofmpR
3,4,5,1,2,3.0,1,4,4,5,Comfort Food Lover,IaaE55VjA1
2,2,2,1,1,4.0,3,4,3,2,Comfort Food Lover,ltn1IUosB0
4,5,5,4,4,5.0,4,5,3,4,Comfort Food Lover,RpkqSugqWI
4,1,5,5,1,5.0,3,2,5,3,Comfort Food Lover,D6UoKBfsTf
2,4,2,1,1,2.0,3,3,5,1,Comfort Food Lover,Oss4Ay19Xq
1,4,5,3,3,3.0,2,1,5,4,Comfort Food Lover,hfZwt8GudW
2,4,5,4,1,2.0,1,2,5,1,Comfort Food Lover,5jMJwWW0xk
5,4,5,2,3,3.0,1,5,4,4,Comfort Food Lover,UuWNW53ah3
3,5,2,3,5,4.0,4,2,4,2,Comfort Food Lover,BaA8W5llCn
2,3,3,3,1,5.0,1,2,5,4,Comfort Food Lover,L7rTffqRS9
2,1,5,1,3,5.0,1,3,2,3,Comfort Food Lover,K0AXxwbW54
1,1,5,5,3,5.0,3,3,5,3,Comfort Food Lover,cdnIIfwYFf
1,5,3,1,4,5.0,3,2,4,2,Comfort Food Lover,Y8sbEKWvq1
1,1,1,1,1,5.0,2,4,5,4,Comfort Food Lover,TdDoquL0M8
4,4,5,1,5,5.0,1,5,5,5,Comfort Food Lover,solu7MdjDW
2,3,4,2,1,5.0,3,4,3,1,Comfort Food Lover,A0EPGVehhP
2,1,5,5,2,4.0,4,2,5,5,Comfort Food Lover,8S0SEbqAT5
5,4,4,5,4,5.0,1,3,5,4,Comfort Food Lover,exLN8aN3MV
1,2,5,4,5,3.0,4,4,5,1,Comfort Food Lover,IEHBRvHC1m
1,4,5,5,1,5.0,1,5,5,5,Comfort Food Lover,LVWBASWKKZ
1,1,2,1,1,5.0,3,4,5,1,Comfort Food Lover,mqcDb8ut9v
1,4,3,4,5,5.0,1,4,5,5,Comfort Food Lover,eMNNIyAaqu
1,4,5,3,2,5.0,1,1,5,2,Comfort Food Lover,1L3ukl91HL
1,2,5,1,4,3.0,4,5,3,1,Comfort Food Lover,OvawM3r3R0
1,4,5,1,2,4.0,1,5,3,5,Comfort Food Lover,fWPedMG4Tc
3,1,2,3,5,5.0,4,4,5,1,Comfort Food Lover,RrFY8b3zES
